city,date,temp_avg
Warszawa,2026-01-15,-6.47
Warszawa,2026-01-16,-6.3
Warszawa,2026-01-17,-6.43
Warszawa,2026-01-18,-4.54
Warszawa,2026-01-19,-5.05
Berlin,2026-01-15,-0.32
Berlin,2026-01-16,-0.6
Berlin,2026-01-17,-0.16
Berlin,2026-01-18,1.32
Berlin,2026-01-19,1.39
Praga,2026-01-15,1.27
Praga,2026-01-16,0.45
Praga,2026-01-17,1.28
Praga,2026-01-18,2.05
Praga,2026-01-19,2.03
Budapeszt,2026-01-15,-0.28
Budapeszt,2026-01-16,0.06
Budapeszt,2026-01-17,-0.55
Budapeszt,2026-01-18,0.45
Budapeszt,2026-01-19,0.86
Madryt,2026-01-07,6.06
Madryt,2026-01-08,6.38
Madryt,2026-01-09,6.36
Madryt,2026-01-10,4.04
Madryt,2026-01-11,4.01
Paryż,2026-01-07,2.05
Paryż,2026-01-08,2.35
Paryż,2026-01-09,2.25
Paryż,2026-01-10,2.37
Paryż,2026-01-11,2.8
Londyn,2026-01-14,5.28
Londyn,2026-01-15,5.12
Londyn,2026-01-16,6.37
Londyn,2026-01-17,6.08
Londyn,2026-01-18,6.79
Wiedeń,2026-01-15,1.75
Wiedeń,2026-01-16,2.62
Wiedeń,2026-01-17,2.02
Wiedeń,2026-01-18,2.86
Wiedeń,2026-01-19,2.76
Bruksela,2026-01-07,1.48
Bruksela,2026-01-08,1.46
Bruksela,2026-01-09,1.76
Bruksela,2026-01-10,1.97
Bruksela,2026-01-11,2.77
Amsterdam,2026-01-14,4.3
Amsterdam,2026-01-15,4.56
Amsterdam,2026-01-16,4.45
Amsterdam,2026-01-17,4.16
Amsterdam,2026-01-18,3.86
Lizbona,2026-01-07,12.8
Lizbona,2026-01-08,12.91
Lizbona,2026-01-09,13.09
Lizbona,2026-01-10,11.27
Lizbona,2026-01-11,11.6
Oslo,2026-01-14,-4.66
Oslo,2026-01-15,-4.53
Oslo,2026-01-16,-4.94
Oslo,2026-01-17,-4.38
Oslo,2026-01-18,-4.79
Sztokholm,2026-01-14,-3.66
Sztokholm,2026-01-15,-4.04
Sztokholm,2026-01-16,-4.04
Sztokholm,2026-01-17,-4.13
Sztokholm,2026-01-18,-4.19
Helsinki,2026-01-06,-7.04
Helsinki,2026-01-07,-4.73
Helsinki,2026-01-08,-5.34
Helsinki,2026-01-09,-6.91
Helsinki,2026-01-10,-6.68
Dublin,2026-01-14,3.07
Dublin,2026-01-15,4.38
Dublin,2026-01-16,5.24
Dublin,2026-01-17,4.61
Dublin,2026-01-18,4.84
Ateny,2026-01-15,11.86
Ateny,2026-01-16,11.04
Ateny,2026-01-17,10.0
Ateny,2026-01-18,9.91
Ateny,2026-01-19,9.62
Belgrad,2026-01-15,2.81
Belgrad,2026-01-16,1.72
Belgrad,2026-01-17,1.82
