city,date,temp_forecast,temp_lower,temp_upper
Warszawa,2026-01-15,-8.03,-8.63,-7.42
Warszawa,2026-01-16,-7.71,-8.33,-7.09
Warszawa,2026-01-17,-9.01,-9.63,-8.42
Warszawa,2026-01-18,-5.77,-6.38,-5.16
Warszawa,2026-01-19,-6.71,-7.32,-6.11
Berlin,2026-01-15,-1.54,-1.94,-1.14
Berlin,2026-01-16,-3.36,-3.73,-2.96
Berlin,2026-01-17,-2.79,-3.21,-2.41
Berlin,2026-01-18,-0.75,-1.14,-0.35
Berlin,2026-01-19,-0.91,-1.29,-0.51
Praga,2026-01-15,0.88,0.3,1.47
Praga,2026-01-16,-0.96,-1.54,-0.38
Praga,2026-01-17,0.59,-0.03,1.19
Praga,2026-01-18,1.29,0.66,1.84
Praga,2026-01-19,1.12,0.54,1.7
Budapeszt,2026-01-15,-2.03,-2.46,-1.62
Budapeszt,2026-01-16,-1.41,-1.85,-0.96
Budapeszt,2026-01-17,-2.79,-3.2,-2.35
Budapeszt,2026-01-18,-1.11,-1.56,-0.67
Budapeszt,2026-01-19,-0.16,-0.57,0.3
Madryt,2026-01-07,7.09,6.51,7.7
Madryt,2026-01-08,7.06,6.44,7.72
Madryt,2026-01-09,7.08,6.53,7.69
Madryt,2026-01-10,2.07,1.48,2.68
Madryt,2026-01-11,1.35,0.73,1.94
Paryż,2026-01-07,1.0,0.48,1.54
Paryż,2026-01-08,0.29,-0.22,0.82
Paryż,2026-01-09,-0.66,-1.15,-0.16
Paryż,2026-01-10,-0.6,-1.17,-0.03
Paryż,2026-01-11,-0.94,-1.45,-0.44
Londyn,2026-01-14,4.8,4.37,5.19
Londyn,2026-01-15,3.41,3.01,3.84
Londyn,2026-01-16,5.68,5.26,6.07
Londyn,2026-01-17,4.9,4.52,5.31
Londyn,2026-01-18,5.81,5.42,6.21
Wiedeń,2026-01-15,0.93,0.53,1.35
Wiedeń,2026-01-16,2.0,1.55,2.42
Wiedeń,2026-01-17,1.09,0.67,1.5
Wiedeń,2026-01-18,2.12,1.72,2.55
Wiedeń,2026-01-19,1.61,1.17,2.01
Bruksela,2026-01-07,1.62,1.13,2.17
Bruksela,2026-01-08,-0.07,-0.61,0.46
Bruksela,2026-01-09,-1.37,-1.91,-0.86
Bruksela,2026-01-10,-1.67,-2.2,-1.14
Bruksela,2026-01-11,-1.4,-1.96,-0.91
Amsterdam,2026-01-14,4.78,4.32,5.21
Amsterdam,2026-01-15,4.52,4.06,4.97
Amsterdam,2026-01-16,4.27,3.8,4.75
Amsterdam,2026-01-17,3.84,3.39,4.33
Amsterdam,2026-01-18,2.88,2.42,3.36
Lizbona,2026-01-07,14.53,14.14,14.91
Lizbona,2026-01-08,13.85,13.47,14.25
Lizbona,2026-01-09,13.78,13.39,14.18
Lizbona,2026-01-10,9.76,9.35,10.15
Lizbona,2026-01-11,10.11,9.71,10.48
Oslo,2026-01-14,-4.17,-4.8,-3.52
Oslo,2026-01-15,-4.65,-5.29,-4.0
Oslo,2026-01-16,-5.07,-5.73,-4.46
Oslo,2026-01-17,-4.54,-5.16,-3.91
Oslo,2026-01-18,-5.58,-6.17,-4.93
Sztokholm,2026-01-14,-3.1,-3.68,-2.57
Sztokholm,2026-01-15,-4.4,-4.99,-3.83
Sztokholm,2026-01-16,-5.02,-5.62,-4.46
Sztokholm,2026-01-17,-5.76,-6.35,-5.17
Sztokholm,2026-01-18,-6.32,-6.88,-5.73
Helsinki,2026-01-06,-6.52,-7.02,-5.96
Helsinki,2026-01-07,-3.55,-4.08,-2.96
Helsinki,2026-01-08,-6.13,-6.72,-5.57
Helsinki,2026-01-09,-10.03,-10.57,-9.49
Helsinki,2026-01-10,-11.36,-11.91,-10.81
Dublin,2026-01-14,2.22,1.61,2.83
Dublin,2026-01-15,3.56,2.91,4.15
Dublin,2026-01-16,4.77,4.14,5.35
Dublin,2026-01-17,3.14,2.52,3.77
Dublin,2026-01-18,3.34,2.71,3.94
Ateny,2026-01-15,14.04,13.59,14.52
Ateny,2026-01-16,11.51,11.06,11.95
Ateny,2026-01-17,9.57,9.12,10.03
Ateny,2026-01-18,9.57,9.1,10.06
Ateny,2026-01-19,9.23,8.78,9.68
Belgrad,2026-01-15,2.9,2.25,3.56
Belgrad,2026-01-16,0.56,-0.1,1.21
Belgrad,2026-01-17,1.48,0.83,2.08
Belgrad,2026-01-18,2.46,1.77,3.05
Belgrad,2026-01-19,3.58,2.89,4.22
Sofia,2026-01-15,0.48,-0.24,1.2
Sofia,2026-01-16,-0.93,-1.55,-0.21
Sofia,2026-01-17,-1.26,-1.94,-0.53
Sofia,2026-01-18,-0.03,-0.74,0.68
Sofia,2026-01-19,-0.07,-0.75,0.65
Tallinn,2026-01-14,-6.46,-7.03,-5.9
Tallinn,2026-01-15,-5.87,-6.46,-5.27
Tallinn,2026-01-16,-4.12,-4.72,-3.52
Tallinn,2026-01-17,-5.72,-6.32,-5.13
Tallinn,2026-01-18,-6.75,-7.26,-6.17
Ryga,2026-01-16,-8.51,-8.97,-8.07
Ryga,2026-01-17,-7.3,-7.76,-6.87
Ryga,2026-01-18,-6.62,-7.1,-6.13
Ryga,2026-01-19,-7.04,-7.48,-6.57
Ryga,2026-01-20,-6.48,-6.9,-6.03
Wilno,2026-01-16,-11.54,-12.15,-10.92
Wilno,2026-01-17,-9.84,-10.45,-9.22
Wilno,2026-01-18,-8.86,-9.48,-8.26
Wilno,2026-01-19,-9.92,-10.53,-9.3
Wilno,2026-01-20,-9.14,-9.76,-8.57
Luxemburg,2026-01-14,2.67,2.08,3.22
Luxemburg,2026-01-15,1.48,0.92,2.04
Luxemburg,2026-01-16,3.03,2.45,3.55
Luxemburg,2026-01-17,3.75,3.19,4.33
Luxemburg,2026-01-18,3.37,2.87,3.97
Vaduz,2026-01-14,2.51,1.83,3.2
Vaduz,2026-01-15,1.65,0.94,2.31
Vaduz,2026-01-16,3.22,2.53,3.85
Vaduz,2026-01-17,2.82,2.25,3.48
Vaduz,2026-01-18,2.24,1.59,2.92
Monako,2026-01-14,7.01,6.7,7.33
Monako,2026-01-15,5.61,5.31,5.94
Monako,2026-01-16,6.71,6.42,7.02
Monako,2026-01-17,5.9,5.58,6.21
Monako,2026-01-18,5.6,5.28,5.91
