time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2010-01-01,-3.6,-4.0,-3.0,92,,,14.2,,,,7
2010-01-02,-3.7,-5.0,-3.0,91,,,10.9,,,,7
2010-01-03,-9.2,-16.0,-3.5,86,0.8,10,13.2,,,,6
2010-01-04,-11.0,-19.2,-5.5,89,0.3,11,6.5,,,,4
2010-01-05,-7.7,-12.0,-4.8,87,,,8.1,,,,4
2010-01-06,-7.4,-14.0,-5.0,91,0.0,12,15.8,,,,6
2010-01-07,-5.8,-6.5,-4.9,90,2.0,19,8.1,,,,7
2010-01-08,-6.2,-9.0,-4.5,87,0.0,18,10.8,,,,5
2010-01-09,-3.6,-6.0,-2.7,92,3.8,26,30.0,,,,7
2010-01-10,-3.1,-4.0,-2.0,94,,,21.3,,,,7
2010-01-11,-2.9,-4.0,-2.0,91,,,9.7,,,,7
2010-01-12,-3.4,-4.0,-2.6,92,0.8,36,9.9,,,,7
2010-01-13,-6.8,-14.0,-2.9,92,0.5,36,13.0,,,,
2010-01-14,-11.4,-16.0,-7.0,88,0.0,36,11.0,,,,
2010-01-15,-9.0,,-6.7,92,0.0,36,9.2,,,,
2010-01-16,-10.1,-16.0,-5.8,90,0.0,34,15.5,,,,5
2010-01-17,-6.0,-8.3,-4.0,88,,,27.8,,,,7
2010-01-18,-3.4,-5.0,-1.5,86,0.0,31,19.9,,,,7
2010-01-19,-7.9,-10.0,-3.4,85,0.0,30,18.2,,,,7
2010-01-20,-9.6,,-8.7,78,0.3,31,18.9,,,,
2010-01-21,-10.0,-11.0,-9.0,78,,,18.7,,,,
2010-01-22,-12.4,-17.0,-9.0,64,0.0,30,14.4,,,,
2010-01-23,-17.2,-20.0,-13.3,73,0.0,30,14.1,,,,
2010-01-24,-17.9,-22.1,-12.0,74,0.0,30,10.2,,,,
2010-01-25,-19.4,-23.3,-14.3,77,0.0,29,8.4,,,,1
2010-01-26,-18.4,-23.4,-13.2,77,0.0,28,4.9,,,,1
2010-01-27,-11.6,-19.4,-9.6,82,0.0,28,12.8,,,,6
2010-01-28,-3.8,-11.3,0.2,86,2.8,35,22.2,,,,7
2010-01-29,-1.2,-2.0,0.2,82,1.3,38,15.3,,,,6
2010-01-30,-1.7,-4.0,1.0,78,,,18.3,,,,
2010-01-31,-5.7,,-1.2,81,0.5,35,10.8,,,,
2010-02-01,-7.0,-12.3,-2.0,89,,,8.1,,,,6
2010-02-02,-2.7,-5.0,-0.8,88,1.8,35,10.9,,,,6
2010-02-03,-3.1,-5.5,0.5,85,0.3,35,15.9,,,,
2010-02-04,-1.9,-5.1,2.6,82,2.5,37,7.0,,,,
2010-02-05,-3.9,-7.6,0.1,79,0.0,34,20.9,,,,
2010-02-06,-5.4,-7.7,-3.9,82,0.0,32,25.4,,,,7
2010-02-07,-7.7,-9.4,-5.5,77,0.0,30,13.7,,,,
2010-02-08,-7.4,-8.3,-5.8,84,0.3,31,4.5,,,,7
2010-02-09,-7.3,-9.0,-5.6,81,0.5,31,3.8,,,,4
2010-02-10,-5.7,-9.1,-3.0,78,0.0,30,16.8,,,,
2010-02-11,-2.7,-6.0,0.3,91,,,22.0,,,,7
2010-02-12,-2.0,-3.0,0.4,91,6.4,38,13.1,,,,7
2010-02-13,-2.2,-3.8,-1.7,90,1.3,40,11.6,,,,7
2010-02-14,-3.7,-4.2,-2.4,92,0.8,42,17.1,,,,7
2010-02-15,-4.6,-6.0,-3.5,87,9.4,50,8.7,,,,7
2010-02-16,-4.2,-6.0,-1.8,88,1.8,53,2.0,,,,6
2010-02-17,-2.4,-4.0,-0.7,85,0.0,52,15.9,,,,5
2010-02-18,1.1,-1.2,4.2,82,0.0,47,10.6,,,,4
2010-02-19,2.8,0.0,5.1,88,,40,10.6,,,,6
2010-02-20,1.7,0.0,3.2,94,8.6,30,13.7,,,,7
2010-02-21,-0.2,-2.0,2.1,79,0.0,27,10.8,,,,3
2010-02-22,-0.5,-7.0,5.1,80,0.0,25,9.9,,,,
2010-02-23,3.9,-1.0,10.0,72,,,10.1,,,,
2010-02-24,1.7,1.0,6.0,93,0.8,20,11.6,,,,7
2010-02-25,2.9,1.0,6.8,89,0.5,17,7.9,,,,4
2010-02-26,2.5,-1.0,7.2,88,0.0,15,14.9,,,,
2010-02-27,2.7,-0.6,5.5,91,1.5,10,10.4,,,,
2010-02-28,3.2,-2.3,8.1,76,0.0,8,15.3,,,,
2010-03-01,6.3,,9.9,69,0.0,,22.6,,,,
2010-03-02,2.3,1.5,4.9,65,0.0,,23.3,,,,
2010-03-03,0.0,-2.4,3.3,80,0.0,1,18.5,,,,
2010-03-04,-1.1,-6.0,2.9,74,0.5,1,9.6,,,,
2010-03-05,-3.4,-5.9,-1.3,86,0.0,,9.2,,,,5
2010-03-06,-2.9,-5.0,-0.5,76,0.5,1,15.5,,,,6
2010-03-07,-4.3,-8.6,-0.2,73,0.0,,9.1,,,,
2010-03-08,-4.8,-9.3,-0.6,65,0.0,,7.5,,,,
2010-03-09,-4.3,-10.1,0.0,63,,,5.6,,,,
2010-03-10,-0.4,-4.0,3.9,66,0.0,,6.4,,,,
2010-03-11,-2.2,-6.0,2.0,66,,,13.4,,,,
2010-03-12,-1.2,-3.0,1.5,75,0.0,,10.9,,,,7
2010-03-13,0.8,-1.2,3.5,80,0.8,1,17.9,,,,6
2010-03-14,0.4,-1.0,2.5,93,2.0,2,11.2,,,,7
2010-03-15,-2.9,-8.1,0.0,86,14.5,19,14.2,,,,
2010-03-16,-1.4,,1.2,82,0.3,14,16.1,,,,
2010-03-17,0.3,-4.0,4.0,80,,,17.7,,,,
2010-03-18,4.9,3.0,9.0,80,0.0,4,10.8,,,,5
2010-03-19,8.2,1.0,14.0,66,,,11.2,,,,
2010-03-20,11.9,6.8,17.5,62,0.0,,12.8,,,,
2010-03-21,12.4,7.0,16.4,79,1.3,,18.7,,,,6
2010-03-22,6.0,5.0,12.5,75,2.8,,16.2,,,,7
2010-03-23,8.2,1.0,15.0,66,,,10.9,,,,
2010-03-24,7.8,3.6,13.4,64,0.0,,9.5,,,,
2010-03-25,11.2,2.9,18.7,58,0.0,,16.6,,,,
2010-03-26,15.1,11.8,21.0,61,,,13.6,,,,
2010-03-27,9.8,6.0,16.3,73,0.0,,16.8,,,,
2010-03-28,8.7,2.9,13.2,72,0.0,,12.7,,,,
2010-03-29,8.2,2.0,13.2,79,,,9.3,,,,
2010-03-30,13.4,,18.1,67,1.0,,11.7,,,,
2010-03-31,13.4,8.0,19.5,57,0.0,,15.5,,,,
2010-04-01,9.5,6.7,14.0,68,,,14.3,,,,
2010-04-02,8.5,2.6,15.6,65,0.0,,8.7,,,,
2010-04-03,5.6,2.6,10.3,78,6.4,,7.9,,,,
2010-04-04,9.7,0.9,17.1,61,0.0,,14.0,,,,
2010-04-05,10.1,6.0,16.8,70,16.0,,8.4,,,,
2010-04-06,7.6,,9.6,83,0.5,,21.1,,,,7
2010-04-07,7.8,5.8,10.7,82,0.0,,11.3,,,,7
2010-04-08,9.1,3.9,13.7,77,0.0,,6.8,,,,5
2010-04-09,8.6,4.4,14.0,82,,,11.4,,,,
2010-04-10,6.1,3.8,9.8,80,0.0,,9.6,,,,5
2010-04-11,8.8,4.8,15.1,73,0.5,,16.9,,,,
2010-04-12,11.2,5.8,16.5,54,0.0,,16.1,,,,
2010-04-13,10.3,6.6,15.3,65,0.3,,9.1,,,,
2010-04-14,10.0,7.7,12.2,72,,,14.0,,,,
2010-04-15,13.5,6.8,19.0,52,0.0,,14.9,,,,
2010-04-16,9.4,6.4,15.1,67,0.0,,14.9,,,,
2010-04-17,7.9,1.7,13.0,60,0.0,,14.1,,,,
2010-04-18,12.8,5.0,19.4,47,0.0,,10.8,,,,
2010-04-19,10.8,4.7,17.1,63,,,6.6,,,,
2010-04-20,7.7,3.0,14.2,43,0.0,,10.4,,,,
2010-04-21,5.6,-1.0,11.2,69,0.0,,15.6,,,,
2010-04-22,4.0,1.9,8.2,80,0.5,,21.0,,,,5
2010-04-23,6.2,1.0,12.1,61,1.8,,12.3,,,,
2010-04-24,8.1,-0.5,15.0,58,0.0,,11.8,,,,
2010-04-25,8.7,1.6,14.7,40,0.0,,11.0,,,,
2010-04-26,12.2,3.0,20.0,42,,,18.2,,,,
2010-04-27,10.6,9.0,16.6,89,5.3,,16.8,,,,6
2010-04-28,11.4,7.4,16.0,74,,,14.5,,,,
2010-04-29,13.0,3.2,20.1,67,0.0,,6.1,,,,
2010-04-30,17.9,8.0,26.0,53,,,12.0,,,,
2010-05-01,14.4,13.0,22.0,80,0.0,,6.4,,,,
2010-05-02,13.3,10.7,17.7,85,2.5,,5.1,,,,
2010-05-03,14.6,12.0,17.3,90,2.3,,12.2,,,,
2010-05-04,8.8,7.0,15.2,84,4.8,,11.3,,,,6
2010-05-05,8.7,6.6,11.8,82,4.3,,11.4,,,,7
2010-05-06,9.2,,,94,,,16.2,,,,7
2010-05-07,14.0,12.0,17.0,94,,,9.5,,,,5
2010-05-08,13.8,10.0,18.6,77,2.8,,7.9,,,,4
2010-05-09,11.4,8.0,15.3,81,0.0,,9.6,,,,
2010-05-10,12.4,3.6,18.4,81,3.0,,6.9,,,,
2010-05-11,14.0,8.5,19.4,84,0.0,,7.0,,,,
2010-05-12,17.6,11.8,23.0,73,,,14.5,,,,
2010-05-13,16.4,13.0,20.4,84,0.5,,10.4,,,,4
2010-05-14,12.4,11.0,17.2,97,1.3,,11.8,,,,7
2010-05-15,11.1,8.8,14.0,83,,,9.8,,,,7
2010-05-16,12.2,8.1,16.0,92,2.3,,20.6,,,,7
2010-05-17,10.3,8.7,13.2,96,27.2,,22.2,,,,7
2010-05-18,11.2,9.0,13.8,95,11.7,,17.8,,,,7
2010-05-19,13.0,9.0,17.0,91,,,9.7,,,,6
2010-05-20,16.6,,22.8,80,0.5,,11.4,,,,
2010-05-21,18.5,12.9,24.0,62,,,9.5,,,,
2010-05-22,18.2,13.0,24.0,66,0.0,,12.3,,,,
2010-05-23,17.6,12.0,23.0,71,,,10.2,,,,
2010-05-24,15.1,13.0,19.2,77,2.3,,14.9,,,,6
2010-05-25,12.8,9.9,16.0,69,,,24.3,,,,
2010-05-26,10.7,6.0,15.3,63,0.0,,13.2,,,,
2010-05-27,13.4,6.0,18.2,74,,,9.4,,,,
2010-05-28,13.1,10.8,17.2,76,0.0,,12.2,,,,5
2010-05-29,15.1,11.0,20.2,66,1.5,,9.5,,,,
2010-05-30,15.2,8.0,21.5,75,0.0,,11.0,,,,
2010-05-31,15.3,13.9,18.5,90,19.6,,7.9,,,,5
2010-06-01,14.8,12.7,17.0,85,5.8,,13.9,,,,7
2010-06-02,18.7,13.6,25.2,85,0.3,,16.4,,,,6
2010-06-03,19.4,15.7,24.0,85,,,13.0,,,,5
2010-06-04,18.0,14.0,23.0,61,,,21.3,,,,
2010-06-05,16.8,10.4,23.0,49,,,6.3,,,,
2010-06-06,18.6,11.8,24.0,56,,,10.1,,,,
2010-06-07,19.7,13.0,26.0,70,0.0,,11.3,,,,
2010-06-08,19.4,14.9,24.1,67,0.3,,10.2,,,,
2010-06-09,22.0,15.0,29.0,71,0.0,,10.0,,,,
2010-06-10,25.5,18.4,31.1,66,0.3,,9.1,,,,
2010-06-11,26.2,18.0,32.0,62,0.0,,10.3,,,,
2010-06-12,23.4,18.8,30.3,61,0.0,,9.8,,,,
2010-06-13,15.5,12.5,25.0,74,21.8,,17.2,,,,
2010-06-14,12.1,9.7,14.9,91,0.0,,11.3,,,,
2010-06-15,14.8,8.7,19.3,73,5.1,,8.7,,,,
2010-06-16,14.7,11.0,18.5,69,3.0,,12.8,,,,
2010-06-17,15.9,9.9,21.0,59,,,7.6,,,,
2010-06-18,18.2,10.4,23.3,61,0.0,,11.3,,,,
2010-06-19,15.3,13.0,21.1,78,3.3,,13.6,,,,6
2010-06-20,14.3,10.4,17.5,75,0.0,,9.2,,,,
2010-06-21,15.9,12.9,19.6,74,0.5,,16.5,,,,
2010-06-22,15.1,10.4,20.1,70,0.0,,18.8,,,,
2010-06-23,13.6,7.9,18.9,67,0.0,,19.9,,,,
2010-06-24,12.6,11.0,14.4,96,23.4,,22.2,,,,7
2010-06-25,13.8,12.5,15.5,98,7.9,,9.8,,,,8
2010-06-26,17.9,12.9,23.4,72,0.3,,17.5,,,,
2010-06-27,17.6,9.6,23.3,68,0.0,,13.8,,,,
2010-06-28,20.4,15.0,25.0,58,,,10.4,,,,
2010-06-29,21.4,14.6,26.4,55,0.0,,6.3,,,,
2010-06-30,22.1,14.0,27.6,58,,,5.7,,,,
2010-07-01,21.2,16.0,26.0,66,,,9.6,,,,
2010-07-02,21.1,14.0,27.0,60,,,9.9,,,,
2010-07-03,20.6,15.0,25.0,59,0.0,,9.9,,,,
2010-07-04,20.3,15.9,24.4,68,0.0,,9.3,,,,
2010-07-05,22.2,18.0,27.6,64,0.0,,4.7,,,,
2010-07-06,20.7,15.6,28.3,75,1.0,,12.8,,,,
2010-07-07,17.2,13.0,22.1,73,4.3,,24.2,,,,
2010-07-08,18.2,11.0,24.6,67,0.0,,13.7,,,,
2010-07-09,21.3,12.3,28.0,58,0.0,,6.1,,,,
2010-07-10,24.6,15.8,30.3,60,0.0,,4.7,,,,
